id,date,builtin,call,communication,entertainment,finance,game,office,other,screen,sms,social,travel,unknown,utilities,weather,mood
AS14.03,2014-04-03,1.0,0.1,0.37913,0.66223,0.69506,0.0,0.0,0.54024,0.09243,0.0,0.0,0.0,0.39582,0.98036,0.0,0.86667
AS14.03,2014-04-04,0.54443,0.0,0.41967,0.5807,0.62789,0.0,0.26933,0.81273,0.18993,0.6,0.0,0.0,0.74629,0.0,0.0,0.86667
AS14.03,2014-04-05,0.43232,0.6,0.50146,0.68005,0.0,0.0,0.63982,0.49254,0.25587,0.0,0.0,0.48131,0.0,0.0,0.0,0.84444
AS14.03,2014-04-06,0.02552,0.0,0.3953,0.79813,0.0,0.0,0.0,0.82785,0.48681,0.0,0.0,0.0,0.41246,0.0,0.0,0.75556
AS14.03,2014-04-07,0.53985,0.2,0.62213,0.69755,0.72728,0.0,0.66121,0.51244,0.38143,0.0,0.0,0.0,0.57397,0.0,0.0,0.82222
AS14.03,2014-04-08,0.59017,0.2,0.37846,0.5715,0.54016,0.0,1.0,0.51052,0.32202,0.2,0.0,0.0,0.32348,0.0,0.0,0.82222
AS14.03,2014-04-09,0.12075,0.0,0.40667,0.51675,0.56495,0.0,0.38971,0.5162,0.03522,0.0,0.0,0.0,0.5103,0.0,0.0,0.86667
AS14.03,2014-04-10,0.31036,0.0,0.62093,0.71671,0.0,0.0,0.24996,0.54513,0.59186,0.4,0.7086,0.0,1.0,0.0,0.0,0.82222
AS14.03,2014-04-11,0.30842,0.0,0.60925,0.73975,0.46943,0.0,0.31714,0.7012,0.37594,0.0,0.0,0.0,0.438,0.49111,0.0,0.84444
AS14.03,2014-04-12,0.99926,0.6,0.10258,1.0,0.0,0.0,0.0,0.83329,0.11154,0.0,0.0,0.0,0.40124,0.67176,0.0,0.85185
AS14.03,2014-04-13,0.65149,0.1,0.69589,0.74518,0.0,0.0,0.88488,1.0,0.66979,0.2,0.0,0.0,0.0,0.0,0.0,0.82222
AS14.03,2014-04-14,0.68599,0.0,0.79762,0.54718,0.54639,0.0,0.30166,0.4869,0.29597,0.2,1.0,0.0,0.32452,0.83632,0.0,0.77778
AS14.03,2014-04-15,0.56591,0.6,0.67995,0.63841,0.0,0.0,0.26667,0.55135,0.26777,0.0,0.0,0.0,0.33329,0.0,0.0,0.84444
AS14.03,2014-04-16,0.42257,0.2,0.56984,0.76035,0.47781,0.0,0.48312,0.61765,0.41315,0.0,0.0,0.0,0.47564,0.6211,0.0,0.88889
AS14.03,2014-04-17,0.68659,0.4,0.65666,0.54836,0.8351,0.0,0.0,0.6119,0.37833,0.4,0.0,0.0,0.59987,1.0,0.0,0.80556
AS14.03,2014-04-18,0.68181,0.6,0.52241,0.80131,0.0,0.0,0.71398,0.46294,0.51071,0.0,0.0,0.0,0.38348,0.63063,0.0,0.83333
AS14.03,2014-04-19,0.32683,0.4,0.51148,0.0,0.0,0.0,0.0,0.4774,0.0,0.2,0.0,0.67496,0.0,0.0,0.0,0.86667
AS14.03,2014-04-20,0.51399,0.3,0.47339,0.60159,0.0,0.0,0.0,0.46738,0.21728,0.4,0.0,0.52714,0.70272,0.0,0.0,0.83333
AS14.03,2014-04-21,0.56529,0.3,0.11596,0.78795,0.51598,0.0,0.0,0.88694,0.4859,0.0,0.0,0.81416,0.0,0.53676,0.0,0.82222
AS14.03,2014-04-22,0.33593,0.0,0.62482,0.68393,0.0,0.0,0.50646,0.51472,0.21774,0.0,0.0,0.0,0.41253,0.0,0.0,0.84444
AS14.03,2014-04-23,0.35454,0.0,0.57421,0.68811,0.82204,0.0,0.0,0.48794,0.30042,0.2,0.0,0.0,0.41805,0.0,0.0,0.77778
AS14.03,2014-04-24,0.32465,0.0,0.7373,0.62748,0.64406,0.0,0.0,0.60602,0.36635,0.0,0.0,0.0,0.37778,0.0,0.0,0.82222
AS14.03,2014-04-25,0.19345,0.0,1.0,0.75196,0.61395,0.0,0.70996,0.48612,1.0,0.0,0.0,0.0,0.52062,0.69435,0.0,0.83333
AS14.03,2014-04-26,0.50091,0.4,0.33972,0.71396,0.0,0.0,0.0,0.53868,0.21728,1.0,0.80565,0.0,0.0,0.0,0.0,0.83333
AS14.03,2014-04-27,0.0,0.0,0.44144,0.90538,0.0,0.0,0.0,0.93111,0.40852,0.0,0.0,1.0,0.52487,0.0,0.0,0.84444
AS14.03,2014-04-28,0.32748,0.1,0.74061,0.76126,0.54598,0.0,0.0,0.46402,0.20413,0.0,0.5828,0.0,0.37095,0.76407,0.0,0.77778
AS14.03,2014-04-29,0.1034,0.0,0.62286,0.52119,1.0,0.0,0.27573,0.50322,0.23647,0.0,0.0,0.0,0.34261,0.0,0.0,0.8
